"id","memname","icode","indus","pac","indiv","totals","sourcedate","cycle","Origin","Source"
"N00028152","Kevin McCarthy (R)","F07","Securities & Investment","167614","508250","675864","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","F10","Real Estate","99250","443450","542700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","F09","Insurance","289800","134500","424300","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","E01","Oil & Gas","192000","145650","337650","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","H01","Health Professionals","220500","116235","336735","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","K02","Lobbyists","6809","327125","333934","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","H04","Pharmaceuticals/Health Products","219500","104150","323650","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","A01","Crop Production & Basic Processing","107750","202300","310050","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","K01","Lawyers/Law Firms","52550","220867","273417","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","W06","Retired","0","230206","230206","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","E08","Electric Utilities","164500","13900","178400","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","F13","Misc Finance","24000","142115","166115","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","F03","Commercial Banks","122000","41050","163050","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","H02","Hospitals/Nursing Homes","57500","97800","155300","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","B12","Electronics Mfg & Equip","76900","76650","153550","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","H03","Health Services/HMOs","74000","68500","142500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N03","Retail Sales","93500","47500","141000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N05","Business Services","16500","114250","130750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N01","Food & Beverage","92000","36700","128700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N02","Beer, Wine & Liquor","52500","73686","126186","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","A09","Food Processing & Sales","68000","51200","119200","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","M02","Automotive","62000","53000","115000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N15","Misc Manufacturing & Distributing","48500","66150","114650","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","A07","Agricultural Services/Products","98500","14250","112750","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","C01","General Contractors","41000","43800","84800","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N07","Casinos/Gambling","21700","62100","83800","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","B09","Telecom Services","55500","18900","74400","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","F11","Accountants","58500","15000","73500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","C05","Building Materials & Equipment","48400","20800","69200","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","A02","Tobacco","22500","46500","69000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","A06","Livestock","20000","42900","62900","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","B13","Internet","33500","28500","62000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","C04","Construction Services","34000","26800","60800","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","M01","Air Transport","53000","7700","60700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","F06","Finance/Credit Companies","51000","9400","60400","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","B02","TV/Movies/Music","29500","30600","60100","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","Q05","Pro-Israel","9500","48750","58250","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","E07","Misc Energy","13200","42250","55450","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N13","Chemical & Related Manufacturing","33000","20700","53700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","A10","Forestry & Forest Products","26500","22440","48940","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N12","Misc Business","9000","34550","43550","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","D02","Defense Electronics","43000","0","43000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","Q13","Gun Rights","5000","37000","42000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","D01","Defense Aerospace","37000","4500","41500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","A04","Dairy","18000","21600","39600","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","M03","Trucking","28500","10050","38550","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","M04","Railroads","38000","0","38000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N08","Lodging/Tourism","25000","12900","37900","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","C03","Special Trade Contractors","12000","23650","35650","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","B08","Telephone Utilities","32500","1350","33850","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","F05","Credit Unions","23500","10200","33700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","E04","Mining","20500","10200","30700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","Q01","Republican/Conservative","2700","27950","30650","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","C02","Home Builders","10000","20600","30600","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N06","Recreation/Live Entertainment","21000","7700","28700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","W04","Education","8500","19900","28400","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","W02","Non-Profit Institutions","1000","24300","25300","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","P03","Transportation Unions","19000","2500","21500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N00","Business Associations","17500","1500","19000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","D03","Misc Defense","18000","934","18934","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","B01","Printing & Publishing","0","18900","18900","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","Q09","Human Rights","7500","10400","17900","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","M05","Sea Transport","8500","9200","17700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","A05","Poultry & Eggs","13500","2000","15500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","Q03","Leadership PACs","13771","0","13771","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","W07","Other","0","12850","12850","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","A11","Misc Agriculture","0","12700","12700","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","E10","Waste Management","0","10900","10900","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N04","Misc Services","5000","5450","10450","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","P05","Misc Unions","10000","0","10000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","Q04","Foreign & Defense Policy","10000","0","10000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","H05","Misc Health","2000","6500","8500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N14","Steel Production","0","8500","8500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","Q16","Candidate Committees","2500","5700","8200","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","P04","Public Sector Unions","1000","5400","6400","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","Q02","Democratic/Liberal","5000","1000","6000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","P01","Building Trade Unions","5400","0","5400","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","F04","Savings & Loans","0","5000","5000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","W03","Civil Servants/Public Officials","0","4850","4850","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","M06","Misc Transport","1000","1000","2000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","N16","Textiles","1000","0","1000","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
"N00028152","Kevin McCarthy (R)","Q10","Misc Issues","0","500","500","May 16 2017 12:00AM","2016","Center for Responsive Politics","https://www.opensecrets.org/politicians/industries.php?cid=N00028152&amp;cycle=2016&amp;type=I&amp;newMem=N&amp;recs=0"
